Nome do Item,Preço,Página(DMG/MM),Raridade
Adaga de Envenenamento,2500,160,Raro
Algemas Dimensionais,3000,165,Raro
Aljava de Ehlonna,1000,189,Incomum
Amuleto de Proteção Contra Detecção e Localização,20000,150,Incomum
Amuleto de Saúde,8000,150,Raro
Amuleto dos Planos,160000,150,Muito Raro
Anel da Ação Livre,20000,191,Raro
Anel da Evasão,5000,191,Raro
Anel da Invisibilidade,10000,191,Lendário
Anel da Natação,3000,193,Incomum
Anel da Queda Suave,2000,191,Raro
Anel da Regeneração,12000,191,Muito Raro
Anel da Telecinese,80000,193,Muito Raro
Anel da Visão de Raio-X,6000,193,Raro
Anel de Armazenar Magias,24000,192,Raro
Anel de Calor,1000,193,Incomum
Anel de Caminhar na Água,1500,193,Incomum
Anel de Cativar animais,4000,189,Raro
Anel de Comandar Elementais da Água,25000,191,Lendário
Anel de Comandar Elementais da Terra,31000,190,Lendário
Anel de Comandar Elementais do Ar,35000,190,Lendário
Anel de Comandar Elementais do Fogo,17000,190,Lendário
Anel de Estrelas Cadentes,14000,192,Muito Raro
Anel de Proteção,3500,191,Raro
Anel de Refletir Magias,30000,193,Lendário
Anel de Resistência,6000,192,Raro
Anel de Saltar,2500,191,Incomum
Anel do Aríete,5000,193,Raro
Anel do Escudo Mental,16000,191,Incomum
Arco do Juramento,3500,183,Muito Raro
Arma +1,1000,213,Incomum
Arma +2,4000,213,Raro
Arma +3,16000,213,Muito Raro
Arma do Alerta,60000,213,Incomum
Arma Viciada,350,209,Raro
Armadura +1,1500,152,Raro
Armadura +2,6000,152,Muito Raro
Armadura +3,24000,152,Lendário
Armadura Anã,9000,167,Muito Rara
Armadura da Invulnerabilidade,18000,152,Lendário
Armadura de Adamante,500,150,Incomum
Armadura de Couro Batido Encantada,2000,172,Raro
Armadura de Mitral,800,182,Incomum
Armadura de Placas da Forma Etérea,48000,185,Lendário
Armadura de Resistência,6000,152,Raro
Armadura do Marinheiro,1500,181,Incomum
Arremessador Anão,18000,167,Muito Raro
Asas Voadoras,5000,214,Raro
Azagaia do Relâmpago,1500,178,Incomum
Bacia de Comandar Elementais da Água,8000,156.125,Raro
Baralho das Ilusões,6120,161,Incomum
Barco Dobrável,10000,170,Raro
Bastão da Obediência,16000,197,Raro
Bastão da Prontidão,25000,195,Muito Raro
Bastão de Absorção,50000,195,Muito Raro
Bastão de Segurança,90000,197,Muito Raro
Bastão do Grande Poder,28000,195,Lendário
Bastão do Tentáculo,5000,208,Raro
Bastão guardião de pactos +1,12000,197,Raro
Bastão guardião de pactos +2,16000,197,Raro
Bastão guardião de pactos +3,28000,197,Muito Raro
